#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
0	0	0	0	0	0	0	0.0028499029875603665	0.0005847308809925397	0	0	0	0	0.1154931672390223	0.018683376187715678	nan	nan	0	
0.01953125	0.01953321904761904	5.081600000000001	10.060799999999999	10.432	10.8032	14.2848	0.07930199405416176	0.055403250735269485	195564	2056385	2253489	1.095849755760716	21.1598691989187	0.028479865166366712	nan	nan	13.397514241803002	
0.09765625	0.09765733018867932	4.416	7.4624	10.304	12.992	23.1296	0.252636468437145	0.002822942555337445	197554	10368198	10567295	1.0192026618318824	83.02924638756842	0.44395669213947414	nan	nan	8.536997112575406	
0.17578125	0.17578426415094345	4.3776	6.912	9.587200000000001	12.377600000000001	22.208	0.3460890675561923	0.0730820683350579	197563	18665100	18857327	1.010298739358482	86.58741748590619	1.4339867728623215	nan	nan	6.497134020794573	
0.25390625	0.2539083962264151	4.3904	6.8351999999999995	9.2416	11.904	22.6944	0.3908902201028417	0.03951170490109751	197232	26916246	27102522	1.0069205787463824	83.35822624156927	1.3707134633124567	nan	nan	5.080327179055216	
0.33203125	0.3320920188679245	4.4032	7.0912	9.7536	13.312	22.784	0.35648344394277354	0.0038596035884845893	197653	35284231	35469221	1.0052428519697651	68.9201321959065	1.5965762529939849	nan	nan	3.542377709110239	
0.41015625	0.41023490566037757	4.416	7.36	10.2912	14.272	23.180799999999998	0.394505362754483	0.029268079720133296	197598	43561448	43743504	1.0041792917443884	59.70463339763538	1.0601583908487036	nan	nan	3.1734688568104805	
0.48828125	0.4882739811320757	4.4416	7.5264	10.5472	14.297600000000001	22.8736	0.40568234689409577	0.02610162523859396	197480	51858009	52036411	1.0034402014932737	54.134174582255085	1.149589471702972	nan	nan	2.741804389508091	
0.56640625	0.5666277452830187	4.4544	8.0896	11.635200000000001	16.1408	22.8096	0.4065742126260466	0.0020813229547106955	197467	60128282	60299998	1.002855827478989	43.674033235011564	0.08039178169302566	nan	nan	2.3678595212378895	
0.64453125	0.6446564339622638	4.3392	7.4752	10.572799999999999	13.9776	22.4768	0.48250703158030195	0.03397827218224419	197766	68511457	68684566	1.0025267160790348	54.619899809439744	1.7054341004277846	nan	nan	2.4699562748926245	
0.72265625	0.722954188679246	4.352	7.616	10.8416	14.8992	31.936	0.49620718262883506	0.02248044750367571	197483	76823828	76993162	1.0022041859200248	49.11926037333121	1.123201020428445	nan	nan	2.264989577924225	
0.80078125	0.8012659433962269	4.3648	7.8208	11.1232	15.8336	39.308800000000005	0.5203556520627036	0.014893677580665874	197872	85196835	85362913	1.0019493447145074	45.68498488206727	1.4800812341831893	nan	nan	2.1430757989395506	
0.87890625	0.8790338867924535	4.300800000000001	6.912	9.523200000000001	12.172799999999999	22.76416000000015	0.5850455172966491	0.003923299371471972	197856	93457963	93621012	1.0017446239439223	60.07637185046439	0.07040062248983103	nan	nan	2.1963319458863855	
0.95703125	0.9571087735849066	4.3136	6.8608	9.4848	12.172799999999999	19.5456	0.6192654085683776	0.013626236843350726	197836	101756043	101955423	1.0019593922299042	56.55241341103373	0.1393624406584962	nan	nan	2.1351552766790696	
